Media	Year	Market Share
8-track	1980	14.30
8-track	1981	7.90
8-track	1982	1.00
8-track	1983	0.00
8-track	1984	0.00
8-track	1985	0.00
8-track	1986	0.00
8-track	1987	0.00
8-track	1988	0.00
8-track	1989	0.00
8-track	1990	0.00
8-track	1991	0.00
8-track	1992	0.00
8-track	1993	0.00
8-track	1994	0.00
8-track	1995	0.00
8-track	1996	0.00
8-track	1997	0.00
8-track	1998	0.00
8-track	1999	0.00
8-track	2000	0.00
8-track	2001	0.00
8-track	2002	0.00
8-track	2003	0.00
8-track	2004	0.00
8-track	2005	0.00
8-track	2006	0.00
8-track	2007	0.00
8-track	2008	0.00
8-track	2009	0.00
8-track	2010	0.00
Cassete	1980	19.10
Cassete	1981	26.70
Cassete	1982	38.20
Cassete	1983	47.80
Cassete	1984	55.00
Cassete	1985	55.30
Cassete	1986	53.90
Cassete	1987	53.20
Cassete	1988	54.10
Cassete	1989	50.80
Cassete	1990	46.00
Cassete	1991	38.50
Cassete	1992	34.50
Cassete	1993	29.00
Cassete	1994	24.70
Cassete	1995	18.70
Cassete	1996	15.20
Cassete	1997	12.40
Cassete	1998	7.30
Cassete	1999	7.30
Cassete	2000	4.40
Cassete	2001	2.60
Cassete	2002	1.70
Cassete	2003	0.90
Cassete	2004	0.20
Cassete	2005	0.10
Cassete	2006	0.00
Cassete	2007	0.00
Cassete	2008	0.00
Cassete	2009	0.00
Cassete	2010	0.00
Cassete single	1980	0.00
Cassete single	1981	0.00
Cassete single	1982	0.00
Cassete single	1983	0.00
Cassete single	1984	0.00
Cassete single	1985	0.00
Cassete single	1986	0.00
Cassete single	1987	0.30
Cassete single	1988	0.90
Cassete single	1989	3.00
Cassete single	1990	3.40
Cassete single	1991	2.90
Cassete single	1992	3.30
Cassete single	1993	3.00
Cassete single	1994	2.30
Cassete single	1995	1.90
Cassete single	1996	1.50
Cassete single	1997	1.10
Cassete single	1998	0.30
Cassete single	1999	0.30
Cassete single	2000	0.00
Cassete single	2001	0.00
Cassete single	2002	0.00
Cassete single	2003	0.00
Cassete single	2004	0.00
Cassete single	2005	0.00
Cassete single	2006	0.00
Cassete single	2007	0.00
Cassete single	2008	0.00
Cassete single	2009	0.00
Cassete single	2010	0.00
CD	1980	0.00
CD	1981	0.00
CD	1982	0.00
CD	1983	0.50
CD	1984	2.40
CD	1985	8.90
CD	1986	20.00
CD	1987	28.50
CD	1988	33.40
CD	1989	39.30
CD	1990	45.80
CD	1991	55.50
CD	1992	59.20
CD	1993	64.80
CD	1994	70.10
CD	1995	76.10
CD	1996	79.20
CD	1997	81.10
CD	1998	87.90
CD	1999	87.90
CD	2000	92.30
CD	2001	94.00
CD	2002	95.30
CD	2003	94.70
CD	2004	92.70
CD	2005	85.60
CD	2006	79.70
CD	2007	70.00
CD	2008	62.40
CD	2009	55.60
CD	2010	49.10
CD single	1980	0.00
CD single	1981	0.00
CD single	1982	0.00
CD single	1983	0.00
CD single	1984	0.00
CD single	1985	0.00
CD single	1986	0.00
CD single	1987	0.00
CD single	1988	0.20
CD single	1989	0.00
CD single	1990	0.10
CD single	1991	0.40
CD single	1992	0.50
CD single	1993	0.50
CD single	1994	0.50
CD single	1995	0.90
CD single	1996	1.50
CD single	1997	2.20
CD single	1998	1.50
CD single	1999	1.50
CD single	2000	1.00
CD single	2001	0.60
CD single	2002	0.20
CD single	2003	0.30
CD single	2004	0.10
CD single	2005	0.10
CD single	2006	0.10
CD single	2007	0.10
CD single	2008	0.00
CD single	2009	0.00
CD single	2010	0.00
Download Album	1980	0.00
Download Album	1981	0.00
Download Album	1982	0.00
Download Album	1983	0.00
Download Album	1984	0.00
Download Album	1985	0.00
Download Album	1986	0.00
Download Album	1987	0.00
Download Album	1988	0.00
Download Album	1989	0.00
Download Album	1990	0.00
Download Album	1991	0.00
Download Album	1992	0.00
Download Album	1993	0.00
Download Album	1994	0.00
Download Album	1995	0.00
Download Album	1996	0.00
Download Album	1997	0.00
Download Album	1998	0.00
Download Album	1999	0.00
Download Album	2000	0.00
Download Album	2001	0.00
Download Album	2002	0.00
Download Album	2003	0.00
Download Album	2004	0.40
Download Album	2005	1.20
Download Album	2006	2.50
Download Album	2007	4.90
Download Album	2008	7.90
Download Album	2009	11.00
Download Album	2010	14.80
Download Music Video	1980	0.00
Download Music Video	1981	0.00
Download Music Video	1982	0.00
Download Music Video	1983	0.00
Download Music Video	1984	0.00
Download Music Video	1985	0.00
Download Music Video	1986	0.00
Download Music Video	1987	0.00
Download Music Video	1988	0.00
Download Music Video	1989	0.00
Download Music Video	1990	0.00
Download Music Video	1991	0.00
Download Music Video	1992	0.00
Download Music Video	1993	0.00
Download Music Video	1994	0.00
Download Music Video	1995	0.00
Download Music Video	1996	0.00
Download Music Video	1997	0.00
Download Music Video	1998	0.00
Download Music Video	1999	0.00
Download Music Video	2000	0.00
Download Music Video	2001	0.00
Download Music Video	2002	0.00
Download Music Video	2003	0.00
Download Music Video	2004	0.00
Download Music Video	2005	0.00
Download Music Video	2006	0.20
Download Music Video	2007	0.30
Download Music Video	2008	0.50
Download Music Video	2009	0.50
Download Music Video	2010	0.50
Download Single	1980	0.00
